variant,size,tile,ms
naive,256,,59
reorder,256,,34
unroll,256,,34
loop,256,,20
simd128,256,,38
simd256,256,,20
simd512,256,,10
tiling,256,16,31
combination128,256,16,27
combination256,256,16,10
combination512,256,16,7
tiling,256,32,36
combination128,256,32,28
combination256,256,32,11
combination512,256,32,7
tiling,256,64,34
combination128,256,64,25
combination256,256,64,11
combination512,256,64,7
tiling,256,128,34
combination128,256,128,25
combination256,256,128,11
combination512,256,128,7
naive,512,,552
reorder,512,,266
unroll,512,,314
loop,512,,184
simd128,512,,300
simd256,512,,144
simd512,512,,82
tiling,512,16,273
combination128,512,16,228
combination256,512,16,96
combination512,512,16,67
tiling,512,32,281
combination128,512,32,217
combination256,512,32,91
combination512,512,32,64
tiling,512,64,269
combination128,512,64,212
combination256,512,64,89
combination512,512,64,66
tiling,512,128,272
combination128,512,128,220
combination256,512,128,95
combination512,512,128,64
naive,1024,,4625
reorder,1024,,2157
unroll,1024,,2590
loop,1024,,1693
simd128,1024,,2417
simd256,1024,,1151
simd512,1024,,660
tiling,1024,16,2207
combination128,1024,16,1860
combination256,1024,16,786
combination512,1024,16,558
tiling,1024,32,2327
combination128,1024,32,1778
combination256,1024,32,756
combination512,1024,32,542
tiling,1024,64,2203
combination128,1024,64,1800
combination256,1024,64,793
combination512,1024,64,527
tiling,1024,128,2138
combination128,1024,128,1758
combination256,1024,128,792
combination512,1024,128,514
naive,2048,,62871
reorder,2048,,21661
unroll,2048,,35467
loop,2048,,19703
simd128,2048,,19356
simd256,2048,,9619
simd512,2048,,6319
tiling,2048,16,18425
combination128,2048,16,15558
combination256,2048,16,6837
combination512,2048,16,5119
tiling,2048,32,18381
combination128,2048,32,14474
combination256,2048,32,6428
combination512,2048,32,4522
tiling,2048,64,17248
combination128,2048,64,14003
combination256,2048,64,6387
combination512,2048,64,4299
tiling,2048,128,16785
combination128,2048,128,13826
combination256,2048,128,6235
combination512,2048,128,4091
