variant,size,tile,instructions,L1D_load_misses,L1D_loads,MPKI
naive,256,,793139702,19622991,375884603,24.740901
reorder,256,,626034097,2180298,309089359,3.482714
unroll,256,,467509864,18022116,204661255,38.549167
loop,256,,335842751,7403948,148731178,22.045877
simd128,256,,483874674,2195945,233800749,4.538252
simd256,256,,253011799,2174750,120496923,8.595449
simd512,256,,143783208,2169141,63847803,15.086191
tiling,256,16,524804574,668382,258551125,1.273583
combination128,256,16,340715237,962395,159320125,2.824632
combination256,256,16,171079721,1077054,76312689,6.295626
combination512,256,16,107513900,1002684,45038778,9.326087
tiling,256,32,507429670,20760925,249812612,40.913897
combination128,256,32,329280768,7060883,154009325,21.443351
combination256,256,32,164968143,4667113,73432923,28.290996
combination512,256,32,104058662,3614891,43369742,34.738973
tiling,256,64,498833239,23334277,245521047,46.777711
combination128,256,64,323782541,7188151,151478760,22.200552
combination256,256,64,162114557,4504368,72108766,27.785093
combination512,256,64,102486510,3406541,42643274,33.238921
tiling,256,128,494657427,21989067,243413880,44.453122
combination128,256,128,321115642,7230059,150247660,22.515437
combination256,256,128,160721457,4383591,71473338,27.274460
combination512,256,128,101823392,3332554,42326498,32.728766
naive,512,,6249567870,135218319,2977620173,21.636427
reorder,512,,4907904118,17063000,2441489773,3.476637
unroll,512,,3637133036,136200072,1604549438,37.447097
loop,512,,2585048600,65802642,1158265496,25.455089
simd128,512,,3768977941,17090398,1838380857,4.534491
simd256,512,,1921994740,17011178,931999320,8.850793
simd512,512,,1048814389,16988945,478893666,16.198238
tiling,512,16,4103575795,148404244,2039877932,36.164616
combination128,512,16,2631354765,81617542,1246140650,31.017308
combination256,512,16,1274383703,42197797,582113223,33.112317
combination512,512,16,765886907,33485737,331919750,43.721516
tiling,512,32,3964818611,143405868,1970011052,36.169591
combination128,512,32,2539583619,80150719,1203599061,31.560575
combination256,512,32,1225171005,37930500,558990944,30.959352
combination512,512,32,738452356,28641614,318618671,38.786001
tiling,512,64,3896062395,140045710,1935689878,35.945448
combination128,512,64,2495311239,74763820,1183282018,29.961721
combination256,512,64,1202096884,35763030,548367048,29.750539
combination512,512,64,725697534,26880662,312779955,37.041137
tiling,512,128,3862660657,136649239,1918849362,35.376972
combination128,512,128,2473868872,66064156,1173413830,26.704793
combination256,512,128,1191267415,34640836,543348158,29.078976
combination512,512,128,720100477,26250520,310167306,36.453968
naive,1024,,49701449232,1079273345,23723401601,21.715128
reorder,1024,,38955144717,135988087,19428811051,3.490889
unroll,1024,,28773849239,1079629941,12726090225,37.521220
loop,1024,,20368524086,618421634,9161913032,30.361632
simd128,1024,,29837059892,136087260,14600697572,4.561014
simd256,1024,,15062163221,135706571,7350088295,9.009766
simd512,1024,,8077496034,135575741,3725181401,16.784377
tiling,1024,16,32542872276,1180434387,16226654915,36.273208
combination128,1024,16,20763640529,608546327,9876453188,29.308267
combination256,1024,16,9907062881,315521927,4564060556,31.848181
combination512,1024,16,5840495335,265639029,2562842502,45.482277
tiling,1024,32,31431267217,1145041769,15667444836,36.430022
combination128,1024,32,20029533196,618323967,9536164449,30.870613
combination256,1024,32,9513784802,290209122,4379201748,30.504066
combination512,1024,32,5617359234,227622031,2455651802,40.521181
tiling,1024,64,30884812894,1101147899,15393645764,35.653378
combination128,1024,64,19679031267,533004255,9374428310,27.084883
combination256,1024,64,9333045275,279706413,4295055954,29.969469
combination512,1024,64,5520379637,214531012,2410018649,38.861641
tiling,1024,128,30613249694,1089688730,15257947225,35.595330
combination128,1024,128,19505555875,523267525,9295047364,26.826589
combination256,1024,128,9245601905,274588870,4254699061,29.699404
combination512,1024,128,5474952288,209196374,2388965800,38.209716
naive,2048,,396750771746,10008725648,189472601668,25.226733
reorder,2048,,310507007230,1088827117,155040783722,3.506610
unroll,2048,,229134874969,9554726354,101423458815,41.699136
loop,2048,,161841032849,5481373203,72911414417,33.868872
simd128,2048,,237537752299,1090330671,116403419279,4.590136
simd256,2048,,119341220970,1087710626,58400151512,9.114291
simd512,2048,,63471730480,1087438307,29401806580,17.132640
tiling,2048,16,259293453404,8866022994,129465656571,34.193007
combination128,2048,16,165061880576,4527578998,78664475538,27.429586
combination256,2048,16,78213462634,2519142594,36166311458,32.208555
combination512,2048,16,45681821640,2052683432,20156751048,44.934360
tiling,2048,32,250397116137,8998311222,124991252568,35.936162
combination128,2048,32,159198818050,4207056808,75944413882,26.426432
combination256,2048,32,75068013377,2340169748,34687748826,31.173993
combination512,2048,32,43896102404,1788698309,19299040752,40.748454
tiling,2048,64,246022368461,8798420380,122800068456,35.762685
combination128,2048,64,156376419749,4170071268,74646492565,26.666880
combination256,2048,64,73611880138,2239926147,34012216485,30.428867
combination512,2048,64,43116485825,1706095171,18933237152,39.569439
tiling,2048,128,243852838865,8707463598,121715197485,35.707862
combination128,2048,128,154994332270,4119654303,74012565501,26.579387
combination256,2048,128,72907265531,2195534762,33688263515,30.114074
combination512,2048,128,42749773710,1668131266,18764076149,39.020821
