sweep,run,table_size,dim,pd,hint,simd_width,instructions,L1D_misses,L2_misses,LLC_misses,sw_prefetch,us
table_size,naive,200000,128,4,0,256,8360831,27893,3353,2289,0,709
table_size,prefetch,200000,128,4,0,256,9012277,25979,2890,432,16339,582
table_size,simd,200000,128,4,0,256,2334054,26702,5635,5823,0,427
table_size,prefetch_simd,200000,128,4,0,256,2847300,26299,2705,378,15825,249
table_size,naive,1000000,128,4,0,256,8361832,28464,5160,3288,0,801
table_size,prefetch,1000000,128,4,0,256,9002720,26459,3371,649,16020,591
table_size,simd,1000000,128,4,0,256,2312728,26964,6889,6768,0,473
table_size,prefetch_simd,1000000,128,4,0,256,2847284,26753,3136,1228,15849,312
table_size,naive,2000000,128,4,0,256,8361484,28932,5206,3130,0,805
table_size,prefetch,2000000,128,4,0,256,9002188,26972,3442,1600,16100,663
table_size,simd,2000000,128,4,0,256,2336791,27864,7253,7556,0,530
table_size,prefetch_simd,2000000,128,4,0,256,2860391,27432,2821,1727,15769,349
pd,prefetch,1000000,128,1,0,256,9028477,26438,2658,1071,16806,633
pd,prefetch_simd,1000000,128,1,0,256,2878171,27185,3261,745,16284,304
pd,prefetch,1000000,128,4,0,256,8989331,25747,2411,1104,16063,624
pd,prefetch_simd,1000000,128,4,0,256,2847165,26646,3132,776,15816,279
pd,prefetch,1000000,128,16,0,256,8916608,27392,3406,1161,14099,638
pd,prefetch_simd,1000000,128,16,0,256,2785344,28655,3964,1456,13910,301
pd,prefetch,1000000,128,64,0,256,8621948,32759,4464,1814,6196,710
pd,prefetch_simd,1000000,128,64,0,256,2475351,31397,5804,4795,6208,426
hint,prefetch,1000000,128,4,0,256,9007938,27098,3610,823,16129,666
hint,prefetch_simd,1000000,128,4,0,256,2860556,27192,3358,571,15795,263
hint,prefetch,1000000,128,4,1,256,9035421,28113,3221,607,16431,600
hint,prefetch_simd,1000000,128,4,1,256,2896214,27344,3465,1101,16267,320
hint,prefetch,1000000,128,4,2,256,8936265,28029,3001,456,16164,573
hint,prefetch_simd,1000000,128,4,2,256,2797643,27122,3393,731,15909,295
hint,prefetch,1000000,128,4,3,256,8863647,26175,4491,1087,16175,612
hint,prefetch_simd,1000000,128,4,3,256,2730990,26932,3064,573,15929,265
dim_width,naive,200000,64,4,0,256,4283723,18821,4223,2157,0,470
dim_width,simd,200000,64,4,0,128,2301475,18751,4459,3837,0,359
dim_width,prefetch_simd,200000,64,4,0,128,2570930,18979,2372,157,7883,204
dim_width,simd,200000,64,4,0,256,1329611,17659,6650,5598,0,382
dim_width,prefetch_simd,200000,64,4,0,256,1586528,16734,2308,299,7898,185
dim_width,simd,200000,64,4,0,512,825465,16507,6486,5388,0,195
dim_width,prefetch_simd,200000,64,4,0,512,1092495,15930,729,633,7945,180
dim_width,naive,200000,128,4,0,256,8360872,27965,4625,2116,0,721
dim_width,simd,200000,128,4,0,128,4280889,28692,5767,4063,0,615
dim_width,prefetch_simd,200000,128,4,0,128,4802058,27306,1550,522,15876,351
dim_width,simd,200000,128,4,0,256,2320224,26328,6321,5855,0,419
dim_width,prefetch_simd,200000,128,4,0,256,2869537,26830,2946,402,15805,251
dim_width,simd,200000,128,4,0,512,1333085,26134,8956,8506,0,344
dim_width,prefetch_simd,200000,128,4,0,512,1871138,26170,2992,723,15854,228
dim_width,naive,200000,256,4,0,256,16509800,44469,4905,2231,0,1170
dim_width,simd,200000,256,4,0,128,8220184,45487,5301,3947,0,820
dim_width,prefetch_simd,200000,256,4,0,128,9300715,41989,1838,477,32697,786
dim_width,simd,200000,256,4,0,256,4315466,44075,6782,7400,0,704
dim_width,prefetch_simd,200000,256,4,0,256,5386851,43903,3095,373,31564,537
dim_width,simd,200000,256,4,0,512,2364188,44089,9508,9105,0,444
dim_width,prefetch_simd,200000,256,4,0,512,3420250,43755,1811,902,32004,452
dim_width,naive,200000,512,4,0,256,32851548,79661,5481,2481,0,2088
dim_width,simd,200000,512,4,0,128,16141376,80801,5868,4250,0,1394
dim_width,prefetch_simd,200000,512,4,0,128,18282602,82715,3447,727,66675,1348
dim_width,simd,200000,512,4,0,256,8307918,78985,6901,6270,0,867
dim_width,prefetch_simd,200000,512,4,0,256,10449314,82697,3496,790,65444,884
dim_width,simd,200000,512,4,0,512,4377979,78988,8543,9182,0,625
dim_width,prefetch_simd,200000,512,4,0,512,6528620,82965,3506,1162,65385,730
