simd_width,dim,run,us
128,64,simd,337
128,64,prefetch_simd,187
128,64,naive,439
256,64,simd,293
256,64,prefetch_simd,169
256,64,naive,436
512,64,simd,195
512,64,prefetch_simd,149
512,64,naive,453
128,128,simd,500
128,128,prefetch_simd,320
128,128,naive,710
256,128,simd,403
256,128,prefetch_simd,238
256,128,naive,706
512,128,simd,328
512,128,prefetch_simd,212
512,128,naive,717
128,256,simd,756
128,256,prefetch_simd,748
128,256,naive,1199
256,256,simd,617
256,256,prefetch_simd,517
256,256,naive,1217
512,256,simd,437
512,256,prefetch_simd,420
512,256,naive,1201
128,512,simd,1249
128,512,prefetch_simd,1346
128,512,naive,2170
256,512,simd,896
256,512,prefetch_simd,901
256,512,naive,2127
512,512,simd,645
512,512,prefetch_simd,688
512,512,naive,2156
