table_size,dim,run,us
200000,128,naive,715
200000,128,prefetch,559
200000,128,simd,399
200000,128,prefetch_simd,245
500000,128,naive,747
500000,128,prefetch,577
500000,128,simd,410
500000,128,prefetch_simd,250
1000000,128,naive,770
1000000,128,prefetch,573
1000000,128,simd,427
1000000,128,prefetch_simd,260
2000000,128,naive,823
2000000,128,prefetch,591
2000000,128,simd,436
2000000,128,prefetch_simd,279
4000000,128,naive,871
4000000,128,prefetch,667
4000000,128,simd,513
4000000,128,prefetch_simd,332
